,text,review_cleaned_lemmatized,rating
2491,"I used daily and its works awesome, the price and performance are good I suggested to my friends , bought last yrs as well gave to my dad, he loves it.",use daily work awesome price performance good suggest friend bought last yr well give dad love,5.0
1601,It's a great tablet for the price. Fast and snappy,great tablet price fast snappy,5.0
31615,It is really easy to setup & to connect to. Really easy to select programs,really easy setup connect really easy select program,5.0
8176,"Took my daughter a little while to get used, now I have to pry it from her hands very pleased this item",take daughter little get use pry hand pleased item,5.0
19801,"We have 3 Kindles, all paper white models. They are lighter than the original model with the light on a spring. Both my grandson and I have iPads which we use for internet etc. The Kindles are the best for reading which helps encourage young readers.",3 kindles paper white model lighter original model light spring grandson ipads use internet etc kindles best reading help encourage young reader,5.0
5083,This item is a great product. Let's me use it for different things.,item great product let use different thing,5.0
14098,"Very simple, very light and has all the basic features you will be looking for in a tablet but don't expect a fancy device",simple light basic feature look tablet dont expect fancy device,5.0
15821,A bargain for the price especially for the coverage of the warranty. A gift for my 4 year old granddaughter. Things can happen to it. She absolutely loves it and pretty easy to use!,bargain price especially coverage warranty gift 4 year old granddaughter thing happen absolutely love pretty easy use,5.0
336,So easy to download and then read. Enjoy reading that I can take anywhere without the heaviness of a book,easy download read enjoy reading take anywhere without heaviness book,5.0
30161,"Very easy setup, I recommend hard wiring, if possible, it has all the apps we use, including Sling TV!",easy setup recommend hard wiring possible apps use include sling tv,5.0
34091,"This is truly a great streamer! I know you have other video streamers which are great and I'm sure they are but I used this video streamer for Pandora, YouTube, Netflix, CNBC, and Slingbox and I have to say, it is absolutely great. I've had no issues since installing it.",truly great streamer know video streamer great im sure use video streamer pandora youtube netflix cnbc slingbox say absolutely great ive issue since instal,5.0
9703,"I purchased this Kindle for my husband, as a gift. I can't believe how fast it is.",purchase kindle husband gift cant believe fast,5.0
30630,Fire tv works really well. It was easy to set up. No problems at all.,fire tv work really well easy set problem,5.0
24314,Easy online purchase. easy use and setup and very useful device to have all around the house,easy online purchase easy use setup useful device around house,5.0
27500,Very good speakers. Gets synced quickly and provides weather updates as well,good speaker get sync quickly provide weather update well,5.0
669,This tablet is very good especially considering the price. also has memory slot to increase storage.,tablet good especially consider price also memory slot increase storage,5.0
15475,Nice gift for the grandson. He will get much use of it! It was nice that it was available in different colors so that he could tell his apart from his sister's.Nice size for traveling with.,nice gift grandson get much use nice available different color could tell apart sistersnice size travel,5.0
3325,What Can I Say 120 volts goes in one end and 5 volts comes out the other. WOW! High quality.,say 120 volt go one end 5 volt come wow high quality,5.0
26089,"love my new echo, works well pros easy to install does not take to much room. The sound is crisp. My only grip is i paid 50.00 more then what the price was in xmas.",love new echo work well pro easy install take much room sound crisp grip paid 5000 price xmas,5.0
22266,"Love all things I can do with Alexis, games, info.",love thing alexis game info,5.0
589,"Love the product. I use it every day for Web,Games and reading.",love product use every day webgames reading,5.0
6569,I went from a Paper white to the Kindle Fire and it's been great! It's easy to use and to read my books. Lots of stuff you can do with this from watching movies to taking care of my email and Facebook etc. All round easy to handle and is a nice computer tablet in the palm of my hands. I like the way the controls are at the top so I don't accidentally turn the power off in the middle of something when I was using other devices that had the on off button at the bottom. I just wish the power reserve would last as long as my Kindle Paper White. The battery runs down fester than I'd like.,go paper white kindle fire great easy use read book lot stuff watch movie take care email facebook etc round easy handle nice computer tablet palm hand like way control top dont accidentally turn power middle something use device button bottom wish power reserve would last long kindle paper white battery run fester id like,5.0
15777,"I purchased two of these tablet a pink and blue. They was for my 5 and 7 years children. They really love their tablets. Yes, it was a birthday gift.",purchase two tablet pink blue 5 7 year child really love tablet yes birthday gift,5.0
28286,Sound is crisp. Alexa is always on point. We love it.,sound crisp alexa always point love,5.0
20243,My kids have owned the kindle fire for over 4 years. It was time for them to be more focused on reading and this is one of the best dreaded out there. Kids love the device and they can quickly borrow books from the city library.,kid own kindle fire 4 year time focus reading one best dread kid love device quickly borrow book city library,5.0
27482,The Bluetooth speaker is nice very loud and I love how it connects to my Hue! Which makes controlling my lights so simple and being able to listen to radio stations such as IHeartradio.,bluetooth speaker nice loud love connects hue make control light simple able listen radio station iheartradio,5.0
28664,"Love it....the color is bright which makes it easy to find in a suitcase or carry on bag. I carry lots of stuff in my pocketbook because the color is neon yellow it stands out. So easy to grab and read. Took it on vacation loved it. I recommend the color cover rather than black one,",love itthe color bright make easy find suitcase carry bag carry lot stuff pocketbook color neon yellow stand easy grab read take vacation love recommend color cover rather black one,5.0
487,"No issues runs games and internet well. ,,,,,,,,,,,,",issue run game internet well,5.0
19980,"Love this device, long battery life, very useful, great for on the go lifestyles, love the backlight and the overall clarity",love device long battery life useful great go lifestyle love backlight overall clarity,5.0
21665,Great buy for my money great quality and durability,great buy money great quality durability,5.0
10883,Simply the Fastest and Best tablet for the money and Best Buy was the easiest place to get it.,simply fast best tablet money best buy easy place get,5.0
9915,"This is a great tablet for my young son, he is able to order books for school. He plays games and he is able to go onto youtube for the fraction of an Ipad. It is great!!!",great tablet young son able order book school play game able go onto youtube fraction ipad great,5.0
29500,"Fun and easy to use, install app and navigation.Good quality technology.",fun easy use install app navigationgood quality technology,5.0
21972,"Excellent -- has quickly become an invaluable feature of our house. Voice recognition, even from a distance, is very good.",excellent quickly become invaluable feature house voice recognition even distance good,5.0
3669,i liked t because its not harmful to my eye like the monitor or the mobile its the best choice for reading,like harmful eye like monitor mobile best choice reading,5.0
31550,"It has a great picture. But, This is not different from the original fire stick.",great picture different original fire stick,5.0
29729,4K ready looks great very fast... Don't waste your money on the stick get this one,4k ready look great fast dont waste money stick get one,5.0
8144,This is an absolute steal at the price! Great product with great functionality!,absolute steal price great product great functionality,5.0
26013,Enjoying this product and anxious to learn more about it.,enjoy product anxious learn,5.0
4834,"Bought these for Christmas, and it was the hit of the gifts! The kids and adults loved them. The adults appreciated the ability to monitor the fires, liked to use them also.",bought christmas hit gift kid adult love adult appreciate ability monitor fire like use also,5.0
14221,I originally bought this tablet for my granddaughters birthday gift. When I saw how easy it was for her to access her homework and other reading materials she needed for school I was so impressed I bought 5 more for each one of my grand kids for Christmas I would recommend this tablet to family & friends.,originally bought tablet granddaughter birthday gift saw easy access homework reading material need school impressed bought 5 one grand kid christmas would recommend tablet family friend,5.0
31860,"Streams great, I love using Alexa to play almost any song I can think of and the interface from the remote is very easy and reliable.",stream great love use alexa play almost song think interface remote easy reliable,5.0
10386,Great price and value. Fast processing. Many games and user options available.,great price value fast processing many game user option available,5.0
32937,"First we purchased the Firestick that ran off of wifi only...ours was too far away from the router and was buffering all the time. Close-by it worked great, but we upgraded to connect directly and we've had no problems. Wonderful product and serves our needs...the voice command for questions is a nice feature as well.",first purchase firestick ran wifi onlyours far away router buffering time closeby work great upgraded connect directly weve problem wonderful product serf needsthe voice command question nice feature well,5.0
22395,The Amazon Echo is like having a robot in your home. She responds to almost everything and it only took about 1/2 hour to set up,amazon echo like robot home responds almost everything take 12 hour set,5.0
3113,This is working very well so far.,work well far,5.0
28399,One of the best products ever created! Love Alexa!,one best product ever create love alexa,5.0
11187,"We've tried a few different brands of tablets, between the DigiLand tablet my neice has or the Polaroid tablets we bought last year. Don't buy Polaroid. The brand used to be about quality, but their tablets are terrible. Slow, unable to process much, they needed to be restarted constantly from freezing.But Amazon's Fire tablet is amazing. My mom was so happy with it. It runs so well and is just overall AWESOME.",weve try different brand tablet digiland tablet neice polaroid tablet bought last year dont buy polaroid brand use quality tablet terrible slow unable process much need restart constantly freezingbut amazon fire tablet amaze mom happy run well overall awesome,5.0
31729,Nice for watch nexflix play games best item i buy .,nice watch nexflix play game best item buy,5.0
28750,Bought it as a gift for my mom she loves it and uses it all the time,bought gift mom love us time,5.0
20386,I was concerned that I was wasting my money because I already have an iPad. I was WRONG! I LOVE IT!,concerned waste money already ipad wrong love,5.0
30113,It was everything I expected it to be. Very pleased. I would recommend this product and your store to everyone I know.,everything expect pleased would recommend product store everyone know,5.0
13367,I bought it for my daughter and she loved it. She is happy to have it and read books on it.,bought daughter love happy read book,5.0
13471,This is simple tablet to use for any beginner or kids,simple tablet use beginner kid,5.0
17059,"Love this tablet! Highly recommended, especially for a toddler who's learning. Has lots of games and activities for learning, parental controls, which I find extremely necessary for the internet today!",love tablet highly recommend especially toddler who learn lot game activity learn parental control find extremely necessary internet today,5.0
7672,"I bought 4 already and So far my cousins love it. Still working great, easy to use, great size for kids.",bought 4 already far cousin love still work great easy use great size kid,5.0
17432,"I love that you can read books as well as play games with this tablet. I bought 2 of them for my little boy and girl. We just charge them up and let them play with them in the car on road trips. They are quite!!! The only thing is, I wish they would have a section of games that can be played without wifi. Some of the apps need wifi to run and some do not. Overall though, I love this tablet!",love read book well play game tablet bought 2 little boy girl charge let play car road trip quite thing wish would section game played without wifi apps need wifi run overall though love tablet,5.0
26536,"I wish Alexa were more like Rosie the Robot on ""The Jetsons"" but she is a ton of fun and moderately useful. She may have thousands of skills but in a fairly narrow range -- how many joke or inspiration skills does anyone AI really need? -- so a broader base, with more games, better understanding of smart devices, etc would be spectacular.",wish alexa like rosie robot jetsons ton fun moderately useful may thousand skill fairly narrow range many joke inspiration skill anyone ai really need broader base game well understand smart device etc would spectacular,5.0
5688,This is my daughters second purchased kindle..great product for reading games and searching the web..durable and affordable.,daughter second purchase kindlegreat product reading game search webdurable affordable,5.0
14567,THE BEST EQUIPMENT EVER I WILL RECOMMENDED TO A FRIEND,best equipment ever recommend friend,5.0
2406,Perfect product for senior citizen who just wants to do a little internet shopping and receive and send emails. Nice size screen and easy to use. Great gift for a lot less investment than an ipad or laptop.,perfect product senior citizen want little internet shopping receive send email nice size screen easy use great gift lot less investment ipad laptop,5.0
27717,"Brought this from QVC due to value payments & i love it! I use it to listen to the radio, yes you can listen to radio stations local & from all over the country by using one of the free apps. I get my weather, movie times, tell's me where a zip code or area code is, turns my lights on & off. I can order things from Amazon, check my Capitol One credit card balance & even pay on it etc. What more can a lazy person ask for?",brought qvc due value payment love use listen radio yes listen radio station local country use one free apps get weather movie time tell zip code area code turn light order thing amazon check capitol one credit card balance even pay etc lazy person ask,5.0
17807,All I wanted was a reader and this is the perfect solution. Love me Kindle Fire but not great as a reader.,want reader perfect solution love kindle fire great reader,5.0
30881,I got this to use in my living as im cutting the cable cord. Works great with WIFI and i can put my tv any where!,get use living im cut cable cord work great wifi put tv,5.0
14909,we had an older model from 2012 and it broke so we just replaced with newer one. Love the new features.,old model 2012 broke replace newer one love new feature,5.0
22133,I like buying things that work as advertised. This does.Although it does not respond as well to my wife's commands. Hmmm...,like buying thing work advertised doesalthough respond well wife command hmmm,5.0
19318,Easy to use and meets all my expectations for why I bought it.,easy use meet expectation bought,5.0
34456,"I dropped cable tv entirely, and I purchased this device to use with my sling box. It works wonderfully and is very easy to set up. It also integrated well with my harmony remote.",drop cable tv entirely purchase device use sling box work wonderfully easy set also integrate well harmony remote,5.0
23361,Still learning to use it. I wish it was compatible with Sirius XM radio .There are so many skills to enable.,still learn use wish compatible sirius xm radio many skill enable,5.0
7518,"Great tablet - great apps and performance. I Love it """,great tablet great apps performance love,5.0
4755,We are enjoying our TV with the surround system. The picture is great as you can see detail's in people and back ground we didn't notices before. We need to get a new dish receiver to move the TV to its new location were we will be wireless.,enjoy tv surround system picture great see detail people back ground didnt notice need get new dish receiver move tv new location wireless,5.0
30102,Very good picture quality. Performs as advertised and worth the prize paid for.,good picture quality performs advertised worth prize paid,5.0
31063,Easy setup and the Echo voice activated searches is a nice touch. Good set of applications as well.,easy setup echo voice activate search nice touch good set application well,5.0
7365,this item was cheap and good in use. I had no problems with this item.,item cheap good use problem item,5.0
20678,"I have owned exactlo, nooks, kobo's and kindles. This is the Cadillac of readers!!!",own exactlo nook kobo kindles cadillac reader,5.0
22923,love it...works as expected. would recommend this product.,love itworks expect would recommend product,5.0
26882,They've done a great job with the voice recognition and it works with so many different services and has so many capabilities. Loving Alexa,theyve do great job voice recognition work many different service many capability love alexa,5.0
1525,Great battery life and picture quality. The camera is not the greatest but I often don't use it for the camera. I usually have my phone with me so I use that instead. Can hold a lot of books too.,great battery life picture quality camera great often dont use camera usually phone use instead hold lot book,5.0
12354,This product is easy to use for beginners and has all the features and applications available for download like other expensive tablets.,product easy use beginner feature application available download like expensive tablet,5.0
21381,"My husband wanted a tablet, mostly for reading books. He had looked at some but hadn't purchased one. I went online and read reviews and picked this one. He has been so pleased and uses it all the time.",husband want tablet mostly reading book look hadnt purchase one go online read review picked one pleased us time,5.0
21091,Good reader for travelers. It allows for people to read in a variety of environments.,good reader traveler allows people read variety environment,5.0
9264,Its great love to watch my favorite shows and read books,great love watch favorite show read book,5.0
3198,"Works like a charm, just what I was looking for.",work like charm look,5.0
4340,The young girl and boy that I bought the units for in Nigeria for school use just love them the price was great and they are being put to good use.,young girl boy bought unit nigeria school use love price great put good use,5.0
24601,Alexa is absolutely amazing helps with everyday needs,alexa absolutely amaze help everyday need,5.0
27370,Great sound quality. Love all the functions that it has.,great sound quality love function,5.0
7292,I needed a new tablet to replace my toshiba that had died. The kindle fire is perfect!,need new tablet replace toshiba die kindle fire perfect,5.0
16875,Parental controls are key. My boys can download games within the parameters I set and I get notification of any purchases. 2 year no questions asked replacement is key.,parental control key boy download game within parameter set get notification purchase 2 year question ask replacement key,5.0
23212,We are very happy with our new Alexa product. We are so happy that we have been calling our daughter daily with new ideas on how to use it. This has prompted her purchase one as well.,happy new alexa product happy call daughter daily new idea use prompt purchase one well,5.0
6995,"My 5 y.o. and 2y.o have been using theirs for more than a year now: all kind of dropping and throwing and stepping on, these tablets are still working perfectly! So i get one every time i want to give presents to young ones!",5 yo 2yo use year kind drop throw step tablet still work perfectly get one every time want give present young one,5.0
7952,I have all tipe of tablets. My favorite is the apple but I prefer fire tablets better than Samsung any time.,tipe tablet favorite apple prefer fire tablet well samsung time,5.0
13045,"Perfect for a little book reader, movie viewer, or small game player. Can't beat it for the price.",perfect little book reader movie viewer small game player cant beat price,5.0
13085,"We now own 4 Kindle Fires, they keep getting better. Very pleased",4 kindle fire keep get well pleased,5.0
21110,"I extremely enjoy and like my Kindle Voyage Reader a whole bunch! I like reading on it a whole bunch, especially my Living Bible, because I'm a Christian that loves God and Jesus Christ of Nazareth! I believe this product is a very excellent reader, which a person can read all of their books on the Kindle Voyages in their Amazon library! Definitely get one today, because especially, because it is light weight and has an awesome back light for reading in the dark. I like it because it is so light and easy on the arms while holding while reading. God bless you! :)",extremely enjoy like kindle voyage reader whole bunch like reading whole bunch especially living bible im christian love god jesus christ nazareth believe product excellent reader person read book kindle voyage amazon library definitely get one today especially light weight awesome back light reading dark like light easy arm hold reading god bless,5.0
32530,"Excellent amazon fire stick. Set up was a snap. It is great that you can speak into the mic to search for a title of a movie or show, rather than typing it.",excellent amazon fire stick set snap great speak mic search title movie show rather type,5.0
15235,This was gift for my step son. It is easy to use and set up.,gift step son easy use set,5.0
6851,Nice tablet with all the basic features needed for the daily use.,nice tablet basic feature need daily use,5.0
3115,What can I say about the plug....it is great. Now I have the option of using the plug to charge my Apple ipod or using my USB cord and adapter that charges my pod directly into the wall port. I do prefer the plug though.,say plugit great option use plug charge apple ipod use usb cord adapter charge pod directly wall port prefer plug though,5.0
23224,"We are having a blast with Alexa, eventually we will grow our Alexa's family...i.e.: lights, tv... we are becoming so lazy... wish she would clean the house too... :)))",blast alexa eventually grow alexas familyie light tv become lazy wish would clean house,5.0
17336,Help my 2 year learn he loves to play it and watch movies on it,help 2 year learn love play watch movie,5.0
6369,We bought 3 of these on Black Friday! They work great and the whole family is happy!,bought 3 black friday work great whole family happy,5.0
21270,"If you are a hardcore reader, this is your Kindle! The light makes a huge difference to read under any conditions, its a big improvement from the standard Kindle, if you are unsure between one or the other, go for the Paperwhite, its worth the extra money.",hardcore reader kindle light make huge difference read condition big improvement standard kindle unsure one go paperwhite worth extra money,5.0
18077,"This is my first E-Reader but I have numerous mobile devices and I can say without hesitation that this reader is awesome. It's just like reading a book. I have no complaints, fits my needs perfectly. Very pleased with my purchase.",first ereader numerous mobile device say without hesitation reader awesome like reading book complaint fit need perfectly pleased purchase,5.0
10243,I like the way parents control what thier child and what programs they see or use,like way parent control thier child program see use,5.0
18550,"I LOVE my Paperwhite Kindle. The convenience of this product speaks for itself. I can read and purchase books anywhere, anytime.When my husband bought me my first Kindle 9-10 years ago, I opened it up and wasn't too sure I was going to like it. Boy was I wrong! I will never go back to books. Best product ever, well worth the money.",love paperwhite kindle convenience product speaks read purchase book anywhere anytimewhen husband bought first kindle 910 year ago open wasnt sure go like boy wrong never go back book best product ever well worth money,5.0
9910,The kindle is great! Great product and great price.,kindle great great product great price,5.0
9748,Love the product it does good for what my children need it to do.,love product good child need,5.0
26918,Great gift idea and easy to install and use - would highly recommend!,great gift idea easy install use would highly recommend,5.0
25554,"Alexis doesn't always respond, could not connect to WIFI when I took it to Vegas",alexis doesnt always respond could connect wifi take vega,5.0
25290,"I had the Dot, but wanted more. The integrated speaker gives you the whole package. It really makes the portability happen.",dot want integrate speaker give whole package really make portability happen,5.0
27603,This is an amazing piece of hardware. The Amazon Echo is very user friendly and my girlfriend loves how the echo interfaces with her Phillips Hue and simple it is to operate. I am definitely looking at getting another one for my mother for her birthday in the upcoming months.,amaze piece hardware amazon echo user friendly girlfriend love echo interface phillips hue simple operate definitely look get another one mother birthday upcoming month,5.0
450,"I have been buying Kindles since they first came out. When ever I want to upgrade Kindle is my chosen brand. I am not very tech savvy and I enjoy watching movies, listening to music and primarily reading. I like the ability to purchase narration for my favorite titles and using text-to-speech for the rest.",buying kindles since first come ever want upgrade kindle chosen brand tech savvy enjoy watch movie listen music primarily reading like ability purchase narration favorite title use texttospeech rest,5.0
20818,"I purchased this specifically to take on a cruise. It exceeded my expectations. The voyager is slim, even with the cover, it is light weight and the screen is very clear. Battery life is good. I would absolutely recommend it.",purchase specifically take cruise exceed expectation voyager slim even cover light weight screen clear battery life good would absolutely recommend,5.0
1630,Great table I pay cheap price is gift for my son my son is happy,great table pay cheap price gift son son happy,5.0
4517,Its a good product at the cost. Touch sensitivity is acceptable.,good product cost touch sensitivity acceptable,5.0
10276,It works seamlessly. Very great for price and clean finish,work seamlessly great price clean finish,5.0
13867,Purchased these for a few christmas gifts to give away.,purchase christmas gift give away,5.0
25165,"Amazon Echo is amazing, weather, sports, music and all the questions you can ask, my whole family loves it",amazon echo amaze weather sport music question ask whole family love,5.0
31645,Overall I think it was a great product. I would definitely recommend to a friend.,overall think great product would definitely recommend friend,5.0
22954,I bought this for our family Christmas gift and we are having fun asking Alexa questions..I think we are ready for a couple of dots.,bought family christmas gift fun ask alexa questionsi think ready couple dot,5.0
7077,My elderly mother really enjoys this tablet. Easy to use and lightweight.,elderly mother really enjoys tablet easy use lightweight,5.0
27401,"It is a great voice control device that help daily life around the house. The mic pickup is very sensitive ND can pickup my commands from across the room with TV on. It retrieve s all kind of information such as nrws, weather etc. Great music player. Love it!!",great voice control device help daily life around house mic pickup sensitive nd pickup command across room tv retrieve kind information nrws weather etc great music player love,5.0
13054,We bought 3 of these for niece and nephews and they absolutely love it. The price is very reasonable for the product.,bought 3 niece nephew absolutely love price reasonable product,5.0
15217,Very easy setup and better control than ipads. Pleased with performance.,easy setup well control ipads pleased performance,5.0
1850,Makes a great gift. My children love them and never put them down.,make great gift child love never put,5.0
11298,My 8 year old loves itEasy to setup and navigate.,8 year old love iteasy setup navigate,5.0
29298,"Smart, timely, very effective around the house. I have a Dot as well but the Tap has MUCH better sound. I had a Google Earth and replaced it with the TAP because Google was not as smart as Tappy!",smart timely effective around house dot well tap much well sound google earth replace tap google smart tappy,5.0
28049,Great sound! Amazing device! Nothing but good things to say about it.,great sound amaze device nothing good thing say,5.0
21393,Grandkids loved it the perfect xmas present for ages 5 to 15,grandkids love perfect xmas present age 5 15,5.0
15408,good tablet for the price its quick and easy to use,good tablet price quick easy use,5.0
33521,"Started with appleTV. Traded those in for Roku, wasn't happy and switched to Amazon Fire Tv. Couldn't be happier.",start appletv trade roku wasnt happy switch amazon fire tv couldnt happier,5.0
32604,I would tell everyone ik to get this. U can format it however u like to. Very easy to understand.,would tell everyone ik get u format however u like easy understand,5.0
21180,"I love my kindle voyage. I get distracted when I read on my tablet, so I decided to purchase an eReader. I am very happy I did! I hope to meet my reading challenge now!",love kindle voyage get distract read tablet decide purchase ereader happy hope meet reading challenge,5.0
22537,This is a great tool. We use as alarm and Bluetooth all the time.,great tool use alarm bluetooth time,5.0
14370,It's like having a tablet with your own library right at your disposal,like tablet library right disposal,5.0
19865,Plan to use the KIndle Paperwhite on a cruise so very important that we could use it in the sun.,plan use kindle paperwhite cruise important could use sun,5.0
12181,Great tablet... Easy to operate and very durable..,great tablet easy operate durable,5.0
33518,Highly better alternative then the Fire Stick. Faster UI and perferomance compared to the Fire Stick.,highly well alternative fire stick faster ui perferomance compare fire stick,5.0
13288,Great tablet!!! works very good and fast. easy to get apps,great tablet work good fast easy get apps,5.0
21534,My only problem with this tablet is that after 6 months of use it stopped charging.,problem tablet 6 month use stop charge,5.0
23819,This amazon echo is simply amazing and a must have for any person and it pairs we with the harmony remote simply wireless,amazon echo simply amaze must person pair harmony remote simply wireless,5.0
2,"Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already...",inexpensive tablet use learn step nabi thrill learn skype already,5.0
34441,Great product. Love the FireTV! a must if you have Amazon Prime.,great product love firetv must amazon prime,5.0
9126,Excellent tab ; originally struggled to get it into the web but discovered that we have to connect to Hot Spot from mobile phone ( not open wifi in public place)!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,excellent tab originally struggle get web discover connect hot spot mobile phone open wifi public place,5.0
30588,picked this item up on Halloween nite. Great content and shows-will recommend to friends and family,picked item halloween nite great content showswill recommend friend family,5.0
22737,Bought this as a Fathers Day gift for myself using the gift cards my family gave me and love it.,bought father day gift use gift card family give love,5.0
13843,Bought this for my younger sister. She's 9 and uses it to stream Netflix and play games. She tells me it's fantastic,bought young sister shes 9 us stream netflix play game tell fantastic,5.0
9063,"The screen resolution, ease of use, and access to apps, books, and movies makes the Kindle Fire hard to beat. This is the 5th Kindle we've purchased (big family) over the past several years - have been happy with each one.",screen resolution ease use access apps book movie make kindle fire hard beat 5th kindle weve purchase big family past several year happy one,5.0
27906,"I was very skeptical at first with this, but Alexa has become part of my everyday use very quickly. Whenever I get home from work, or I need to do chores around the house, ""Alexa, open Pandora."" Its super convenient and the speakers on it are amazing. I'm really impressed. If there was one thing though that I would have Amazon improve upon if they ever release a version 2 is to have the microphone distance be further than whatever it is at now, which seems to be about 10 feet or so. More than 10 feet away, Alexa won't hear me. Other than that though, this thing is awesome. I'm glad I got it.",skeptical first alexa become part everyday use quickly whenever get home work need chore around house alexa open pandora super convenient speaker amaze im really impressed one thing though would amazon improve upon ever release version 2 microphone distance whatever seem 10 foot 10 foot away alexa wont hear though thing awesome im glad get,5.0
27927,"Alexa has been a very good companion and source of information to anything that she knows...very honest, answers all questions to her own capability.",alexa good companion source information anything knowsvery honest answer question capability,5.0
5851,little gem does so much for such an amazing price.,little gem much amaze price,5.0
30887,Its a greatproduct halpy i bought and im happy to use it,greatproduct halpy bought im happy use,5.0
20106,I didn't need to review the product because I alread had one. I purchased the kindle for my wife for our anniversary and she loves it. The best part is you can read it outside in the bright sun or inside .We rarely buy paper books anymore!,didnt need review product alread one purchase kindle wife anniversary love best part read outside bright sun inside rarely buy paper book anymore,5.0
28549,Very nice to have in the kitchen/living room area… Just ask what the weather is… The time… Play music… The news… Turn lights on… Works great!,nice kitchenliving room area ask weather time play music news turn light work great,5.0
22779,"She can put items you need onto your grocery list. You can asss things to your to do list. She can tell jokes, facts, read books, find music, and more",put item need onto grocery list ass thing list tell joke fact read book find music,5.0
34163,Love it. Best decision ever right here . . dump cable and join the rest of the world.,love best decision ever right dump cable join rest world,5.0
1963,Good cheap tablet. Great for Netflix and YouTube. Screen is a decent size just bigger than a phone and smaller than a laptop. It's also HD which is a plus,good cheap tablet great netflix youtube screen decent size big phone small laptop also hd plus,5.0
5955,games are excellent and great books to read as well,game excellent great book read well,5.0
156,I bought this for my wife to replace her old Kindle and she loves it. Much easier to read than an iPad and updated features make it a great purchase.,bought wife replace old kindle love much easy read ipad update feature make great purchase,5.0
10581,"This is the best tablet ever! Great price and quality! I definitely recommend everyone to get this tablet if you travel a lot or just for use casually around the house. At 49.99 price point, you can't beat that!",best tablet ever great price quality definitely recommend everyone get tablet travel lot use casually around house 4999 price point cant beat,5.0
28350,Great sounding device. Product improvements are constantly being done & more options are being added.,great sound device product improvement constantly do option add,5.0
25644,Alexa is wonderful to have-I love asking it questions and listening to my favorite songs.,alexa wonderful havei love ask question listen favorite song,5.0
33689,This is a must buy!!!! Great picture you will enjoy this product,must buy great picture enjoy product,5.0
26250,"I love the versatility of the Echo, It has a great music sound and does so much more.",love versatility echo great music sound much,5.0
34237,Has worked very well with Sling TV and other streaming apps.,work well sling tv stream apps,5.0
25055,This was a gift for my sister and she love it she going purchase one for her daughter,gift sister love go purchase one daughter,5.0
26319,This product is the best item HANDS DOWN! Love IT!,product best item hand love,5.0
18104,Excellent screen. Very easy to read. Easy to navigate. Love it.,excellent screen easy read easy navigate love,5.0
269,The fire is great. The size is really nice. Not to big. The clarity is really good.,fire great size really nice big clarity really good,5.0
8784,This tablet has everything you need to get you by. The quality is great and for the prize I can't complain.,tablet everything need get quality great prize cant complain,5.0
15002,I bought this for reading/listening books. Love the availability to expand the memory. Now I can load movies and tons of books! :-),bought readinglistening book love availability expand memory load movie ton book,5.0
10374,This little treasure was found on Black Friday. Just what I needed as I had lost my old one. Great resolution on videos and easy on eyes for reading.,little treasure found black friday need lose old one great resolution video easy eye reading,5.0
30369,This is hands down the best media streaming device available today. If you have a 4k tv the box enhances the resolution any other tv the sticks will work fine.,hand best medium stream device available today 4k tv box enhances resolution tv stick work fine,5.0
11812,This is the third kindle fire that I have purchased so it is obvious that we absolutely love them. Now all three grandsons have one and they are on them constantly. Excellent gift for any age.,third kindle fire purchase obvious absolutely love three grandson one constantly excellent gift age,5.0
19273,Battery life is awesome. Works great with the lights off and goes to sleep after a few minutes of non use,battery life awesome work great light go sleep minute non use,5.0
32054,"WE PURCHASED THIS IN PLACE OF PAYING THE SKY HIGH CABLE PRICES FOR CHANNELS THAT WE JUST DO NOT USE. OUR TV IS A ROKU SMART TV, BUT WE FOUND THAT WE STILL NEEDED THIS TO GAIN ACCESS TO A FEW STATIONS. WE HAVE BEEN VERY PLEASED WITH OUR PURCHASE.",purchase place pay sky high cable price channel use tv roku smart tv found still need gain access station pleased purchase,5.0
21528,"Bought this for a Christmas Gift, the item is great",bought christmas gift item great,5.0
27486,Can't believe how much fun we have had with our new echo. Love all the music we can listen too so quickly.,cant believe much fun new echo love music listen quickly,5.0
7221,Great tablet for the money!! Easy to use! Easy to set up. Great for reading or browsing the Internet.,great tablet money easy use easy set great reading browsing internet,5.0
24178,"BestBuy had this Echo for sale at half it's regular price. We bought one and are having all kinds of interesting fun. Imagine when your hands are full and you say ""Alexa, set timer"". Not to mention all the other requests that may come up. Use you imagination.",bestbuy echo sale half regular price bought one kind interest fun imagine hand full say alexa set timer mention request may come use imagination,5.0
16973,Got this for my daughter 2nd birthday and she absolutely love it.,get daughter 2nd birthday absolutely love,5.0
8925,Gave this as a Christmas gift to my uncle because he has been given other tablets that did perform as they advertised. I have asked him several time if he is still enjoying the Fire and his answer has always been yes. I also purchased one for myself as well and it has continued to perform as well as it did on the first day I started it up. It is also a great tablet for someone who is a first time user of this type of technology. I would purchase another one should the need arise without giving it a second thought.,give christmas gift uncle give tablet perform advertised ask several time still enjoy fire answer always yes also purchase one well continued perform well first day start also great tablet someone first time user type technology would purchase another one need arise without give second thought,5.0
285,I thought that this tablet was junk but it has surpassed my expectations,thought tablet junk surpass expectation,5.0
